Year_Month,Card_type,Travel_Mode,Trip,DATE
Sep-18,Adult Single Bus Trip 2,Bus,60426,1/09/2018
Sep-18,Adult Single Bus Trip 3,Bus,19918,1/09/2018
Sep-18,Child/Youth,Bus,1174339,1/09/2018
Sep-18,Child/Youth Single Bus Trip 1,Bus,27904,1/09/2018
Sep-18,Child/Youth Single Bus Trip 2,Bus,19441,1/09/2018
Sep-18,Child/Youth Single Bus Trip 3,Bus,5161,1/09/2018
Sep-18,Concession,Bus,1761178,1/09/2018
Sep-18,Day Pass Child/Youth w/o SAF,Bus,7,1/09/2018
Sep-18,Day Pass without SAF,Bus,259,1/09/2018
Sep-18,Employee,Bus,81888,1/09/2018
Sep-18,Free Travel,Bus,38771,1/09/2018
Sep-18,On Demand,Bus,4679,1/09/2018
Sep-18,Other,Bus,66227,1/09/2018
Sep-18,School Student,Bus,2566165,1/09/2018
Sep-18,Senior/Pensioner,Bus,4000218,1/09/2018
Sep-18,Adult,Ferry,781681,1/09/2018
Sep-18,CTP,Ferry,13924,1/09/2018
Sep-18,Child/Youth,Ferry,83827,1/09/2018
Sep-18,Concession,Ferry,22900,1/09/2018
Sep-18,Day Pass without SAF,Ferry,1,1/09/2018
Sep-18,Employee,Ferry,4119,1/09/2018
Sep-18,Free Travel,Ferry,2004,1/09/2018
Sep-18,School Student,Ferry,4833,1/09/2018
Sep-18,Senior/Pensioner,Ferry,170563,1/09/2018
Sep-18,Sgl Trip Ferry Adult,Ferry,41289,1/09/2018
Sep-18,Sgl Trip Ferry Child/Youth,Ferry,8921,1/09/2018
Sep-18,Adult,Light Rail,618552,1/09/2018
Sep-18,CTP,Light Rail,9945,1/09/2018
Sep-18,Child/Youth,Light Rail,37820,1/09/2018
Sep-18,Concession,Light Rail,30445,1/09/2018
Sep-18,Day Pass without SAF,Light Rail,1,1/09/2018
Sep-18,Employee,Light Rail,1189,1/09/2018
Sep-18,Free Travel,Light Rail,761,1/09/2018
Sep-18,School Student,Light Rail,7017,1/09/2018
Sep-18,Senior/Pensioner,Light Rail,137410,1/09/2018
Sep-18,Sgl Trip LR Adult,Light Rail,3362,1/09/2018
Sep-18,Sgl Trip LR Child/Youth,Light Rail,594,1/09/2018
Sep-18,Adult,Train,25212167,1/09/2018
Sep-18,Child/Youth,Train,1041145,1/09/2018
Sep-18,Concession,Train,2168858,1/09/2018
Sep-18,Day Pass Child/Youth w/o SAF,Train,9,1/09/2018
Sep-18,Day Pass without SAF,Train,319,1/09/2018
Sep-18,Employee,Train,283396,1/09/2018
Sep-18,Free Travel,Train,30433,1/09/2018
Sep-18,School Student,Train,1093627,1/09/2018
Sep-18,Senior/Pensioner,Train,2853772,1/09/2018
Sep-18,Sgl Trip Rail Adult,Train,284117,1/09/2018
Sep-18,Sgl Trip Rail Child/Youth,Train,53639,1/09/2018
Oct-18,Adult,Bus,15736379,1/10/2018
Oct-18,Adult Single Bus Trip 1,Bus,115049,1/10/2018
Oct-18,Adult Single Bus Trip 2,Bus,63772,1/10/2018
Oct-18,Adult Single Bus Trip 3,Bus,21456,1/10/2018
Oct-18,Child/Youth,Bus,1418158,1/10/2018
Oct-18,Child/Youth Single Bus Trip 1,Bus,34527,1/10/2018
Oct-18,Child/Youth Single Bus Trip 2,Bus,25996,1/10/2018
Oct-18,Child/Youth Single Bus Trip 3,Bus,7029,1/10/2018
Oct-18,Concession,Bus,1824756,1/10/2018
Oct-18,Day Pass Child/Youth w/o SAF,Bus,8,1/10/2018
Oct-18,Day Pass without SAF,Bus,369,1/10/2018
Oct-18,Employee,Bus,88362,1/10/2018
Oct-18,Free Travel,Bus,41366,1/10/2018
Oct-18,On Demand,Bus,5295,1/10/2018
Oct-18,Other,Bus,81377,1/10/2018
Oct-18,School Student,Bus,1721983,1/10/2018
Oct-18,Senior/Pensioner,Bus,4228361,1/10/2018
Oct-18,Adult,Ferry,761780,1/10/2018
Oct-18,CTP,Ferry,16320,1/10/2018
Oct-18,Child/Youth,Ferry,91168,1/10/2018
Oct-18,Concession,Ferry,20365,1/10/2018
Oct-18,Day Pass without SAF,Ferry,3,1/10/2018
Oct-18,Employee,Ferry,3997,1/10/2018
Oct-18,Free Travel,Ferry,1976,1/10/2018
Oct-18,School Student,Ferry,2911,1/10/2018
Oct-18,Senior/Pensioner,Ferry,171082,1/10/2018
Oct-18,Sgl Trip Ferry Adult,Ferry,45136,1/10/2018
Oct-18,Sgl Trip Ferry Child/Youth,Ferry,9845,1/10/2018
Oct-18,Adult,Light Rail,609091,1/10/2018
Oct-18,CTP,Light Rail,10940,1/10/2018
Oct-18,Child/Youth,Light Rail,39129,1/10/2018
Oct-18,Concession,Light Rail,27585,1/10/2018
Oct-18,Day Pass without SAF,Light Rail,2,1/10/2018
Oct-18,Employee,Light Rail,1275,1/10/2018
Oct-18,Free Travel,Light Rail,788,1/10/2018
Oct-18,School Student,Light Rail,4384,1/10/2018
Oct-18,Senior/Pensioner,Light Rail,130612,1/10/2018
Oct-18,Sgl Trip LR Adult,Light Rail,2881,1/10/2018
Oct-18,Sgl Trip LR Child/Youth,Light Rail,624,1/10/2018
Oct-18,Adult,Train,26675966,1/10/2018
Oct-18,Child/Youth,Train,1220318,1/10/2018
Oct-18,Concession,Train,2223132,1/10/2018
Oct-18,Day Pass Child/Youth w/o SAF,Train,10,1/10/2018
Oct-18,Day Pass without SAF,Train,374,1/10/2018
Oct-18,Employee,Train,311734,1/10/2018
Oct-18,Free Travel,Train,35210,1/10/2018
Oct-18,School Student,Train,692192,1/10/2018
Oct-18,Senior/Pensioner,Train,2975395,1/10/2018
Oct-18,Sgl Trip Rail Adult,Train,304980,1/10/2018
Oct-18,Sgl Trip Rail Child/Youth,Train,62339,1/10/2018
Nov-18,Adult,Bus,16168800,1/11/2018
Nov-18,Adult Single Bus Trip 1,Bus,118254,1/11/2018
Nov-18,Adult Single Bus Trip 2,Bus,66378,1/11/2018
Nov-18,Adult Single Bus Trip 3,Bus,21421,1/11/2018
Nov-18,Child/Youth,Bus,1248624,1/11/2018
Nov-18,Child/Youth Single Bus Trip 1,Bus,28168,1/11/2018
Nov-18,Child/Youth Single Bus Trip 2,Bus,19078,1/11/2018
Nov-18,Child/Youth Single Bus Trip 3,Bus,5046,1/11/2018
Nov-18,Concession,Bus,1440331,1/11/2018
Nov-18,Day Pass Child/Youth w/o SAF,Bus,25,1/11/2018
Nov-18,Day Pass without SAF,Bus,489,1/11/2018
Nov-18,Employee,Bus,91102,1/11/2018
Nov-18,Free Travel,Bus,42416,1/11/2018
Nov-18,On Demand,Bus,5377,1/11/2018
Nov-18,Other,Bus,174528,1/11/2018
Nov-18,School Student,Bus,2817780,1/11/2018
Nov-18,Senior/Pensioner,Bus,4382870,1/11/2018
Nov-18,Adult,Ferry,890859,1/11/2018
Nov-18,CTP,Ferry,20715,1/11/2018
Nov-18,Child/Youth,Ferry,74587,1/11/2018
Nov-18,Concession,Ferry,23239,1/11/2018
Nov-18,Day Pass without SAF,Ferry,4,1/11/2018
Nov-18,Employee,Ferry,4554,1/11/2018
Nov-18,Free Travel,Ferry,2079,1/11/2018
Nov-18,School Student,Ferry,4822,1/11/2018
Nov-18,Senior/Pensioner,Ferry,185824,1/11/2018
Nov-18,Sgl Trip Ferry Adult,Ferry,51364,1/11/2018
Nov-18,Sgl Trip Ferry Child/Youth,Ferry,6894,1/11/2018
Nov-18,Adult,Light Rail,625784,1/11/2018
Nov-18,CTP,Light Rail,12894,1/11/2018
Nov-18,Child/Youth,Light Rail,37283,1/11/2018
Nov-18,Concession,Light Rail,29136,1/11/2018
Nov-18,Day Pass without SAF,Light Rail,2,1/11/2018
Nov-18,Employee,Light Rail,1300,1/11/2018
Nov-18,Free Travel,Light Rail,888,1/11/2018
Nov-18,School Student,Light Rail,7228,1/11/2018
Nov-18,Senior/Pensioner,Light Rail,136671,1/11/2018
Nov-18,Sgl Trip LR Adult,Light Rail,2752,1/11/2018
Nov-18,Sgl Trip LR Child/Youth,Light Rail,330,1/11/2018
Nov-18,Adult,Train,27025348,1/11/2018
Nov-18,CTP,Train,29061,1/11/2018
Nov-18,Child/Youth,Train,1033964,1/11/2018
Nov-18,Concession,Train,1798391,1/11/2018
Nov-18,Day Pass Child/Youth w/o SAF,Train,11,1/11/2018
Nov-18,Day Pass without SAF,Train,459,1/11/2018
Nov-18,Employee,Train,319734,1/11/2018
Nov-18,Free Travel,Train,35582,1/11/2018
Nov-18,School Student,Train,1152486,1/11/2018
Nov-18,Senior/Pensioner,Train,3037349,1/11/2018
Nov-18,Sgl Trip Rail Adult,Train,321285,1/11/2018
Nov-18,Sgl Trip Rail Child/Youth,Train,49652,1/11/2018
Dec-18,Adult,Bus,14104676,1/12/2018
Dec-18,Adult Single Bus Trip 1,Bus,112904,1/12/2018
Dec-18,Adult Single Bus Trip 2,Bus,63021,1/12/2018
Dec-18,Adult Single Bus Trip 3,Bus,21892,1/12/2018
Dec-18,Child/Youth,Bus,1423439,1/12/2018
Dec-18,Child/Youth Single Bus Trip 1,Bus,32811,1/12/2018
Dec-18,Child/Youth Single Bus Trip 2,Bus,25849,1/12/2018
Dec-18,Child/Youth Single Bus Trip 3,Bus,7956,1/12/2018
Dec-18,Concession,Bus,1021477,1/12/2018
Dec-18,Day Pass Child/Youth w/o SAF,Bus,29,1/12/2018
Dec-18,Day Pass without SAF,Bus,426,1/12/2018
Dec-18,Employee,Bus,82198,1/12/2018
Dec-18,Free Travel,Bus,38642,1/12/2018
Dec-18,On Demand,Bus,6439,1/12/2018
Dec-18,Other,Bus,65839,1/12/2018
Dec-18,School Student,Bus,1248913,1/12/2018
Dec-18,Senior/Pensioner,Bus,4089027,1/12/2018
Dec-18,Adult,Ferry,1019143,1/12/2018
Dec-18,CTP,Ferry,45727,1/12/2018
Dec-18,Child/Youth,Ferry,137948,1/12/2018
Dec-18,Concession,Ferry,24831,1/12/2018
Dec-18,Day Pass without SAF,Ferry,4,1/12/2018
Dec-18,Employee,Ferry,5371,1/12/2018
Dec-18,Free Travel,Ferry,2110,1/12/2018
Dec-18,School Student,Ferry,2594,1/12/2018
Dec-18,Senior/Pensioner,Ferry,187090,1/12/2018
Dec-18,Sgl Trip Ferry Adult,Ferry,62404,1/12/2018
Dec-18,Sgl Trip Ferry Child/Youth,Ferry,16424,1/12/2018
Dec-18,Adult,Light Rail,610683,1/12/2018
Dec-18,CTP,Light Rail,19441,1/12/2018
Dec-18,Child/Youth,Light Rail,45017,1/12/2018
Dec-18,Concession,Light Rail,24245,1/12/2018
Dec-18,Day Pass without SAF,Light Rail,1,1/12/2018
Dec-18,Employee,Light Rail,1259,1/12/2018
Dec-18,Free Travel,Light Rail,858,1/12/2018
Dec-18,School Student,Light Rail,2917,1/12/2018
Dec-18,Senior/Pensioner,Light Rail,140990,1/12/2018
Dec-18,Sgl Trip LR Adult,Light Rail,3036,1/12/2018
Dec-18,Sgl Trip LR Child/Youth,Light Rail,711,1/12/2018
Dec-18,Adult,Train,23050018,1/12/2018
Dec-18,CTP,Train,400255,1/12/2018
Dec-18,Child/Youth,Train,1319800,1/12/2018
Dec-18,Concession,Train,1345643,1/12/2018
Dec-18,Day Pass Child/Youth w/o SAF,Train,6,1/12/2018
Dec-18,Day Pass without SAF,Train,366,1/12/2018
Dec-18,Employee,Train,272003,1/12/2018
Dec-18,Free Travel,Train,29670,1/12/2018
Dec-18,School Student,Train,512431,1/12/2018
Dec-18,Senior/Pensioner,Train,2815946,1/12/2018
Dec-18,Sgl Trip Rail Adult,Train,306621,1/12/2018
Dec-18,Sgl Trip Rail Child/Youth,Train,71697,1/12/2018
Jan-19,Adult,Bus,14752879,1/01/2019
Jan-19,Adult Single Bus Trip 1,Bus,110735,1/01/2019
Jan-19,Adult Single Bus Trip 2,Bus,61336,1/01/2019
Jan-19,Adult Single Bus Trip 3,Bus,20411,1/01/2019
Jan-19,Child/Youth,Bus,1653909,1/01/2019
Jan-19,Child/Youth Single Bus Trip 1,Bus,38810,1/01/2019
Jan-19,Child/Youth Single Bus Trip 2,Bus,31393,1/01/2019
Jan-19,Child/Youth Single Bus Trip 3,Bus,9539,1/01/2019
Jan-19,Concession,Bus,1004593,1/01/2019
Jan-19,Day Pass Child/Youth w/o SAF,Bus,18,1/01/2019
Jan-19,Day Pass without SAF,Bus,725,1/01/2019
Jan-19,Employee,Bus,85279,1/01/2019
Jan-19,Free Travel,Bus,38510,1/01/2019
Jan-19,On Demand,Bus,7041,1/01/2019
Jan-19,Other,Bus,48037,1/01/2019
Jan-19,School Student,Bus,205934,1/01/2019
Jan-19,Senior/Pensioner,Bus,3970989,1/01/2019
Jan-19,Adult,Ferry,1027527,1/01/2019
Jan-19,CTP,Ferry,58537,1/01/2019
Jan-19,Child/Youth,Ferry,196867,1/01/2019
Jan-19,Concession,Ferry,26120,1/01/2019
Jan-19,Day Pass without SAF,Ferry,8,1/01/2019
Jan-19,Employee,Ferry,5535,1/01/2019
Jan-19,Free Travel,Ferry,2397,1/01/2019
Jan-19,School Student,Ferry,496,1/01/2019
Jan-19,Senior/Pensioner,Ferry,222000,1/01/2019
Jan-19,Sgl Trip Ferry Adult,Ferry,61360,1/01/2019
Jan-19,Sgl Trip Ferry Child/Youth,Ferry,19149,1/01/2019
Jan-19,Adult,Light Rail,440804,1/01/2019
Jan-19,CTP,Light Rail,18576,1/01/2019
Jan-19,Child/Youth,Light Rail,42875,1/01/2019
Jan-19,Concession,Light Rail,18357,1/01/2019
Jan-19,Day Pass without SAF,Light Rail,4,1/01/2019
Jan-19,Employee,Light Rail,896,1/01/2019
Jan-19,Free Travel,Light Rail,593,1/01/2019
Jan-19,School Student,Light Rail,560,1/01/2019
Jan-19,Senior/Pensioner,Light Rail,100259,1/01/2019
Jan-19,Sgl Trip LR Adult,Light Rail,1740,1/01/2019
Jan-19,Sgl Trip LR Child/Youth,Light Rail,569,1/01/2019
Jan-19,Adult,Train,23174619,1/01/2019
Jan-19,CTP,Train,559514,1/01/2019
Jan-19,Child/Youth,Train,1511478,1/01/2019
Jan-19,Concession,Train,1291370,1/01/2019
Jan-19,Day Pass Child/Youth w/o SAF,Train,15,1/01/2019
Jan-19,Day Pass without SAF,Train,493,1/01/2019
Jan-19,Employee,Train,274738,1/01/2019
Jan-19,Free Travel,Train,29386,1/01/2019
Jan-19,School Student,Train,88704,1/01/2019
Jan-19,Senior/Pensioner,Train,2671807,1/01/2019
Jan-19,Sgl Trip Rail Adult,Train,250355,1/01/2019
Jan-19,Sgl Trip Rail Child/Youth,Train,73085,1/01/2019
Feb-19,Adult,Bus,15426206,1/02/2019
Feb-19,Adult Single Bus Trip 1,Bus,99772,1/02/2019
Feb-19,Adult Single Bus Trip 2,Bus,54290,1/02/2019
Feb-19,Adult Single Bus Trip 3,Bus,17375,1/02/2019
Feb-19,Child/Youth,Bus,1357664,1/02/2019
Feb-19,Child/Youth Single Bus Trip 1,Bus,21631,1/02/2019
Feb-19,Child/Youth Single Bus Trip 2,Bus,15276,1/02/2019
Feb-19,Child/Youth Single Bus Trip 3,Bus,4340,1/02/2019
Feb-19,Concession,Bus,1415444,1/02/2019
Feb-19,Day Pass Child/Youth w/o SAF,Bus,46,1/02/2019
Feb-19,Day Pass without SAF,Bus,659,1/02/2019
Feb-19,Employee,Bus,87689,1/02/2019
Feb-19,Free Travel,Bus,40466,1/02/2019
Feb-19,On Demand,Bus,8098,1/02/2019
Feb-19,Other,Bus,0,1/02/2019
Feb-19,School Student,Bus,3034805,1/02/2019
Feb-19,Senior/Pensioner,Bus,4130053,1/02/2019
Feb-19,Adult,Ferry,876044,1/02/2019
Feb-19,CTP,Ferry,47051,1/02/2019
Feb-19,Child/Youth,Ferry,67142,1/02/2019
Feb-19,Concession,Ferry,23079,1/02/2019
Feb-19,Day Pass without SAF,Ferry,11,1/02/2019
Feb-19,Employee,Ferry,4613,1/02/2019
Feb-19,Free Travel,Ferry,2254,1/02/2019
Feb-19,School Student,Ferry,3433,1/02/2019
Feb-19,Senior/Pensioner,Ferry,191521,1/02/2019
Feb-19,Sgl Trip Ferry Adult,Ferry,45285,1/02/2019
Feb-19,Sgl Trip Ferry Child/Youth,Ferry,6282,1/02/2019
Feb-19,Adult,Light Rail,613130,1/02/2019
Feb-19,CTP,Light Rail,25195,1/02/2019
Feb-19,Child/Youth,Light Rail,42123,1/02/2019
Feb-19,Concession,Light Rail,29066,1/02/2019
Feb-19,Day Pass without SAF,Light Rail,6,1/02/2019
Feb-19,Employee,Light Rail,1354,1/02/2019
Feb-19,Free Travel,Light Rail,1147,1/02/2019
Feb-19,School Student,Light Rail,8614,1/02/2019
Feb-19,Senior/Pensioner,Light Rail,164339,1/02/2019
Feb-19,Sgl Trip LR Adult,Light Rail,2796,1/02/2019
Feb-19,Sgl Trip LR Child/Youth,Light Rail,580,1/02/2019
Feb-19,Adult,Train,24235381,1/02/2019
Feb-19,CTP,Train,612866,1/02/2019
Feb-19,Child/Youth,Train,1030042,1/02/2019
Feb-19,Concession,Train,1692708,1/02/2019
Feb-19,Day Pass Child/Youth w/o SAF,Train,15,1/02/2019
Feb-19,Day Pass without SAF,Train,502,1/02/2019
Feb-19,Employee,Train,299251,1/02/2019
Feb-19,Free Travel,Train,32805,1/02/2019
Feb-19,School Student,Train,1203113,1/02/2019
Feb-19,Senior/Pensioner,Train,2837854,1/02/2019
Feb-19,Sgl Trip Rail Adult,Train,235026,1/02/2019
Feb-19,Sgl Trip Rail Child/Youth,Train,39201,1/02/2019
Mar-19,Adult,Bus,16865038,1/03/2019
Mar-19,Adult Single Bus Trip 1,Bus,104426,1/03/2019
Mar-19,Adult Single Bus Trip 2,Bus,56005,1/03/2019
Mar-19,Adult Single Bus Trip 3,Bus,18478,1/03/2019
Mar-19,Child/Youth,Bus,1388228,1/03/2019
Mar-19,Child/Youth Single Bus Trip 1,Bus,24315,1/03/2019
Mar-19,Child/Youth Single Bus Trip 2,Bus,16792,1/03/2019
Mar-19,Child/Youth Single Bus Trip 3,Bus,4803,1/03/2019
Mar-19,Concession,Bus,2273012,1/03/2019
Mar-19,Day Pass Child/Youth w/o SAF,Bus,90,1/03/2019
Mar-19,Day Pass without SAF,Bus,989,1/03/2019
Mar-19,Employee,Bus,94200,1/03/2019
Mar-19,Free Travel,Bus,43399,1/03/2019
Mar-19,On Demand,Bus,9767,1/03/2019
Mar-19,Other,Bus,0,1/03/2019
Mar-19,School Student,Bus,3406548,1/03/2019
Mar-19,Senior/Pensioner,Bus,4436133,1/03/2019
Mar-19,Adult,Ferry,891646,1/03/2019
Mar-19,CTP,Ferry,52039,1/03/2019
Mar-19,Child/Youth,Ferry,69720,1/03/2019
Mar-19,Concession,Ferry,28579,1/03/2019
Mar-19,Day Pass Child/Youth w/o SAF,Ferry,6,1/03/2019
Mar-19,Day Pass without SAF,Ferry,13,1/03/2019
Mar-19,Employee,Ferry,4519,1/03/2019
Mar-19,Free Travel,Ferry,2303,1/03/2019
Mar-19,School Student,Ferry,3635,1/03/2019
Mar-19,Senior/Pensioner,Ferry,195448,1/03/2019
Mar-19,Sgl Trip Ferry Adult,Ferry,46412,1/03/2019
Mar-19,Sgl Trip Ferry Child/Youth,Ferry,6437,1/03/2019
Mar-19,Adult,Light Rail,696793,1/03/2019
Mar-19,CTP,Light Rail,32869,1/03/2019
Mar-19,Child/Youth,Light Rail,45828,1/03/2019
Mar-19,Concession,Light Rail,43393,1/03/2019
Mar-19,Day Pass Child/Youth w/o SAF,Light Rail,1,1/03/2019
Mar-19,Day Pass without SAF,Light Rail,15,1/03/2019
Mar-19,Employee,Light Rail,1817,1/03/2019
Mar-19,Free Travel,Light Rail,1409,1/03/2019
Mar-19,School Student,Light Rail,9944,1/03/2019
Mar-19,Senior/Pensioner,Light Rail,173382,1/03/2019
Mar-19,Sgl Trip LR Adult,Light Rail,3569,1/03/2019
Mar-19,Sgl Trip LR Child/Youth,Light Rail,1046,1/03/2019
Mar-19,Adult,Train,26870901,1/03/2019
Mar-19,CTP,Train,715994,1/03/2019
Mar-19,Child/Youth,Train,1091466,1/03/2019
Mar-19,Concession,Train,2792174,1/03/2019
Mar-19,Day Pass Child/Youth w/o SAF,Train,54,1/03/2019
Mar-19,Day Pass without SAF,Train,685,1/03/2019
Mar-19,Employee,Train,330137,1/03/2019
Mar-19,Free Travel,Train,34783,1/03/2019
Mar-19,School Student,Train,1321749,1/03/2019
Mar-19,Senior/Pensioner,Train,3059039,1/03/2019
Mar-19,Sgl Trip Rail Adult,Train,268079,1/03/2019
Mar-19,Sgl Trip Rail Child/Youth,Train,45205,1/03/2019
Apr-19,Adult,Bus,14959627,1/04/2019
Apr-19,Adult Single Bus Trip 1,Bus,93026,1/04/2019
Apr-19,Adult Single Bus Trip 2,Bus,48668,1/04/2019
Apr-19,Adult Single Bus Trip 3,Bus,17329,1/04/2019
Apr-19,Child/Youth,Bus,1449736,1/04/2019
Apr-19,Child/Youth Single Bus Trip 1,Bus,27868,1/04/2019
Apr-19,Child/Youth Single Bus Trip 2,Bus,21897,1/04/2019
Apr-19,Child/Youth Single Bus Trip 3,Bus,6122,1/04/2019
Apr-19,Concession,Bus,1834882,1/04/2019
Apr-19,Day Pass Child/Youth w/o SAF,Bus,48,1/04/2019
Apr-19,Day Pass without SAF,Bus,773,1/04/2019
Apr-19,Employee,Bus,85255,1/04/2019
Apr-19,Free Travel,Bus,38720,1/04/2019
Apr-19,On Demand,Bus,9784,1/04/2019
Apr-19,School Student,Bus,1735455,1/04/2019
Apr-19,Senior/Pensioner,Bus,4113032,1/04/2019
Apr-19,Adult,Ferry,917392,1/04/2019
Apr-19,CTP,Ferry,54154,1/04/2019
Apr-19,Child/Youth,Ferry,149389,1/04/2019
Apr-19,Concession,Ferry,25473,1/04/2019
Apr-19,Day Pass without SAF,Ferry,12,1/04/2019
Apr-19,Employee,Ferry,4575,1/04/2019
Apr-19,Free Travel,Ferry,2306,1/04/2019
Apr-19,School Student,Ferry,1955,1/04/2019
Apr-19,Senior/Pensioner,Ferry,211530,1/04/2019
Apr-19,Sgl Trip Ferry Adult,Ferry,49727,1/04/2019
Apr-19,Sgl Trip Ferry Child/Youth,Ferry,15970,1/04/2019
Apr-19,Adult,Light Rail,610905,1/04/2019
Apr-19,CTP,Light Rail,31478,1/04/2019
Apr-19,Child/Youth,Light Rail,57364,1/04/2019
Apr-19,Concession,Light Rail,33409,1/04/2019
Apr-19,Day Pass without SAF,Light Rail,5,1/04/2019
Apr-19,Employee,Light Rail,1496,1/04/2019
Apr-19,Free Travel,Light Rail,1259,1/04/2019
Apr-19,School Student,Light Rail,5178,1/04/2019
Apr-19,Senior/Pensioner,Light Rail,159245,1/04/2019
Apr-19,Sgl Trip LR Adult,Light Rail,3567,1/04/2019
Apr-19,Sgl Trip LR Child/Youth,Light Rail,1620,1/04/2019
Apr-19,Adult,Train,24276410,1/04/2019
Apr-19,CTP,Train,710888,1/04/2019
Apr-19,Child/Youth,Train,1331399,1/04/2019
Apr-19,Concession,Train,2257676,1/04/2019
Apr-19,Day Pass Child/Youth w/o SAF,Train,23,1/04/2019
Apr-19,Day Pass without SAF,Train,658,1/04/2019
Apr-19,Employee,Train,304321,1/04/2019
Apr-19,Free Travel,Train,31756,1/04/2019
Apr-19,School Student,Train,690414,1/04/2019
Apr-19,Senior/Pensioner,Train,2898742,1/04/2019
Apr-19,Sgl Trip Rail Adult,Train,241881,1/04/2019
Apr-19,Sgl Trip Rail Child/Youth,Train,66510,1/04/2019
May-19,Adult,Bus,16827324,1/05/2019
May-19,Adult Single Bus Trip 1,Bus,93036,1/05/2019
May-19,Adult Single Bus Trip 2,Bus,49965,1/05/2019
May-19,Adult Single Bus Trip 3,Bus,16623,1/05/2019
May-19,Child/Youth,Bus,1256375,1/05/2019
May-19,Child/Youth Single Bus Trip 1,Bus,20657,1/05/2019
May-19,Child/Youth Single Bus Trip 2,Bus,14135,1/05/2019
May-19,Child/Youth Single Bus Trip 3,Bus,3968,1/05/2019
May-19,Concession,Bus,1882427,1/05/2019
May-19,Day Pass Child/Youth w/o SAF,Bus,68,1/05/2019
May-19,Day Pass without SAF,Bus,787,1/05/2019
May-19,Employee,Bus,99204,1/05/2019
May-19,Free Travel,Bus,44534,1/05/2019
May-19,On Demand,Bus,11130,1/05/2019
May-19,School Student,Bus,3592972,1/05/2019
May-19,Senior/Pensioner,Bus,4586037,1/05/2019
May-19,Adult,Ferry,787055,1/05/2019
May-19,CTP,Ferry,51727,1/05/2019
May-19,Child/Youth,Ferry,66200,1/05/2019
May-19,Concession,Ferry,24888,1/05/2019
May-19,Day Pass Child/Youth w/o SAF,Ferry,178,1/05/2019
May-19,Day Pass without SAF,Ferry,22,1/05/2019
May-19,Employee,Ferry,5002,1/05/2019
May-19,Free Travel,Ferry,2331,1/05/2019
May-19,School Student,Ferry,3720,1/05/2019
May-19,Senior/Pensioner,Ferry,201703,1/05/2019
May-19,Sgl Trip Ferry Adult,Ferry,31501,1/05/2019
May-19,Sgl Trip Ferry Child/Youth,Ferry,5522,1/05/2019
May-19,Adult,Light Rail,625322,1/05/2019
May-19,CTP,Light Rail,34183,1/05/2019
May-19,Child/Youth,Light Rail,37874,1/05/2019
May-19,Concession,Light Rail,36161,1/05/2019
May-19,Day Pass Child/Youth w/o SAF,Light Rail,9,1/05/2019
May-19,Day Pass without SAF,Light Rail,13,1/05/2019
May-19,Employee,Light Rail,1537,1/05/2019
May-19,Free Travel,Light Rail,1393,1/05/2019
May-19,School Student,Light Rail,11280,1/05/2019
May-19,Senior/Pensioner,Light Rail,161232,1/05/2019
May-19,Sgl Trip LR Adult,Light Rail,2534,1/05/2019
May-19,Sgl Trip LR Child/Youth,Light Rail,632,1/05/2019
May-19,Adult,Metro,219429,1/05/2019
May-19,CTP,Metro,7887,1/05/2019
May-19,Child/Youth,Metro,6186,1/05/2019
May-19,Concession,Metro,19058,1/05/2019
May-19,Day Pass without SAF,Metro,5,1/05/2019
May-19,Employee,Metro,3142,1/05/2019
May-19,Free Travel,Metro,333,1/05/2019
May-19,School Student,Metro,13436,1/05/2019
May-19,Senior/Pensioner,Metro,24600,1/05/2019
May-19,Sgl Trip Rail Adult,Metro,1696,1/05/2019
May-19,Sgl Trip Rail Child/Youth,Metro,332,1/05/2019
May-19,Adult,Train,27859455,1/05/2019
May-19,CTP,Train,893575,1/05/2019
May-19,Child/Youth,Train,972256,1/05/2019
May-19,Concession,Train,2479155,1/05/2019
May-19,Day Pass Child/Youth w/o SAF,Train,38,1/05/2019
May-19,Day Pass without SAF,Train,626,1/05/2019
May-19,Employee,Train,366432,1/05/2019
May-19,Free Travel,Train,38389,1/05/2019
May-19,School Student,Train,1461690,1/05/2019
May-19,Senior/Pensioner,Train,3208060,1/05/2019
May-19,Sgl Trip Rail Adult,Train,236129,1/05/2019
May-19,Sgl Trip Rail Child/Youth,Train,46316,1/05/2019
Jun-19,Adult,Bus,14504498,1/06/2019
Jun-19,Adult Single Bus Trip 1,Bus,80555,1/06/2019
Jun-19,Adult Single Bus Trip 2,Bus,42267,1/06/2019
Jun-19,Adult Single Bus Trip 3,Bus,13191,1/06/2019
Jun-19,Child/Youth,Bus,1175335,1/06/2019
Jun-19,Child/Youth Single Bus Trip 1,Bus,19193,1/06/2019
Jun-19,Child/Youth Single Bus Trip 2,Bus,13566,1/06/2019
Jun-19,Child/Youth Single Bus Trip 3,Bus,3543,1/06/2019
Jun-19,Concession,Bus,1555717,1/06/2019
Jun-19,Day Pass Child/Youth w/o SAF,Bus,50,1/06/2019
Jun-19,Day Pass without SAF,Bus,832,1/06/2019
Jun-19,Employee,Bus,86459,1/06/2019
Jun-19,Free Travel,Bus,37745,1/06/2019
Jun-19,On Demand,Bus,9946,1/06/2019
Jun-19,School Student,Bus,2754915,1/06/2019
