Year_Month,Card_type,Line,Trip
Jul-16,Senior/Pensioner,T6 Carlingford Line,3095
Jul-16,Sgl Trip Rail Adult,T6 Carlingford Line,10
Jul-16,Sgl Trip Rail Child/Youth,T6 Carlingford Line,2
Jul-16,Adult,T7 Olympic Park Line,124590
Jul-16,Child/Youth,T7 Olympic Park Line,7793
Jul-16,Concession,T7 Olympic Park Line,9387
Jul-16,Employee,T7 Olympic Park Line,437
Jul-16,Free Travel,T7 Olympic Park Line,35
Jul-16,School Student,T7 Olympic Park Line,1175
Jul-16,Senior/Pensioner,T7 Olympic Park Line,8427
Jul-16,Sgl Trip Rail Adult,T7 Olympic Park Line,291
Jul-16,Sgl Trip Rail Child/Youth,T7 Olympic Park Line,65
Aug-16,Adult,Blue Mountains Line,578758
Aug-16,Child/Youth,Blue Mountains Line,28601
Aug-16,Concession,Blue Mountains Line,73100
Aug-16,Employee,Blue Mountains Line,11719
Aug-16,Free Travel,Blue Mountains Line,1158
Aug-16,School Student,Blue Mountains Line,31641
Aug-16,Senior/Pensioner,Blue Mountains Line,106916
Aug-16,Sgl Trip Rail Adult,Blue Mountains Line,5392
Aug-16,Sgl Trip Rail Child/Youth,Blue Mountains Line,1428
Aug-16,Adult,Central Coast & Newcastle Line,1125393
Aug-16,Child/Youth,Central Coast & Newcastle Line,56945
Aug-16,Concession,Central Coast & Newcastle Line,145413
Aug-16,Employee,Central Coast & Newcastle Line,23970
Aug-16,Free Travel,Central Coast & Newcastle Line,2460
Aug-16,School Student,Central Coast & Newcastle Line,95296
Aug-16,Senior/Pensioner,Central Coast & Newcastle Line,219372
Aug-16,Sgl Trip Rail Adult,Central Coast & Newcastle Line,11626
Aug-16,Sgl Trip Rail Child/Youth,Central Coast & Newcastle Line,2343
Aug-16,Adult,Hunter Line,29693
Aug-16,Child/Youth,Hunter Line,2749
Aug-16,Concession,Hunter Line,12355
Aug-16,Employee,Hunter Line,553
Aug-16,Free Travel,Hunter Line,95
Aug-16,School Student,Hunter Line,4972
Aug-16,Senior/Pensioner,Hunter Line,14253
Aug-16,Sgl Trip Rail Adult,Hunter Line,570
Aug-16,Sgl Trip Rail Child/Youth,Hunter Line,231
Aug-16,Adult,South Coast Line,602210
Aug-16,Child/Youth,South Coast Line,29180
Aug-16,Concession,South Coast Line,83095
Aug-16,Employee,South Coast Line,8351
Aug-16,Free Travel,South Coast Line,900
Aug-16,School Student,South Coast Line,30954
Aug-16,Senior/Pensioner,South Coast Line,106924
Aug-16,Sgl Trip Rail Adult,South Coast Line,5992
Aug-16,Sgl Trip Rail Child/Youth,South Coast Line,1318
Aug-16,Adult,Southern Highlands Line,47485
Aug-16,Child/Youth,Southern Highlands Line,4918
Aug-16,Concession,Southern Highlands Line,7958
Aug-16,Employee,Southern Highlands Line,905
Aug-16,Free Travel,Southern Highlands Line,182
Aug-16,School Student,Southern Highlands Line,1960
Aug-16,Senior/Pensioner,Southern Highlands Line,17403
Aug-16,Sgl Trip Rail Adult,Southern Highlands Line,606
Aug-16,Sgl Trip Rail Child/Youth,Southern Highlands Line,121
Aug-16,Adult,"T1 North Shore, Northern and Western Line",9484134
Aug-16,Child/Youth,"T1 North Shore, Northern and Western Line",370300
