Year_Month,Card_type,Line,Trip
Jul-16,Concession,Dulwich Hill Line,928
Jul-16,Child/Youth,Dulwich Hill Line,1429
Jul-16,Adult,Dulwich Hill Line,15692
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,16
Jul-16,Free Travel,Dulwich Hill Line,41
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,109
Jul-16,Senior/Pensioner,Dulwich Hill Line,4334
Jul-16,Employee,Dulwich Hill Line,1
Jul-16,Concession,Dulwich Hill Line,941
Jul-16,Child/Youth,Dulwich Hill Line,2067
Jul-16,Adult,Dulwich Hill Line,19170
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,22
Jul-16,Senior/Pensioner,Dulwich Hill Line,4481
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,9
Jul-16,Free Travel,Dulwich Hill Line,14
Jul-16,Concession,Dulwich Hill Line,1366
Jul-16,Child/Youth,Dulwich Hill Line,1319
Jul-16,Adult,Dulwich Hill Line,18906
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,3
Jul-16,School Student,Dulwich Hill Line,4
Jul-16,Free Travel,Dulwich Hill Line,21
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,47
Jul-16,Senior/Pensioner,Dulwich Hill Line,4006
Jul-16,Concession,Dulwich Hill Line,1073
Jul-16,Child/Youth,Dulwich Hill Line,1475
Jul-16,Adult,Dulwich Hill Line,29133
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,4
Jul-16,School Student,Dulwich Hill Line,1
Jul-16,Free Travel,Dulwich Hill Line,21
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,36
Jul-16,Senior/Pensioner,Dulwich Hill Line,3564
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,19
Jul-16,Senior/Pensioner,Dulwich Hill Line,3735
Jul-16,Concession,Dulwich Hill Line,1092
Jul-16,Child/Youth,Dulwich Hill Line,1629
Jul-16,Adult,Dulwich Hill Line,28180
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,4
Jul-16,Free Travel,Dulwich Hill Line,22
Jul-16,Concession,Dulwich Hill Line,917
Jul-16,Child/Youth,Dulwich Hill Line,1203
Jul-16,Adult,Dulwich Hill Line,20176
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,10
Jul-16,School Student,Dulwich Hill Line,128
Jul-16,Free Travel,Dulwich Hill Line,32
Jul-16,Employee,Dulwich Hill Line,1
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,45
Jul-16,Senior/Pensioner,Dulwich Hill Line,4083
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,11
Jul-16,Senior/Pensioner,Dulwich Hill Line,3915
Jul-16,Concession,Dulwich Hill Line,786
Jul-16,Child/Youth,Dulwich Hill Line,1778
Jul-16,Adult,Dulwich Hill Line,18254
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,9
Jul-16,Free Travel,Dulwich Hill Line,26
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,12
Jul-16,Senior/Pensioner,Dulwich Hill Line,4818
Jul-16,Concession,Dulwich Hill Line,811
Jul-16,Child/Youth,Dulwich Hill Line,1761
Jul-16,Adult,Dulwich Hill Line,18666
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,5
Jul-16,Free Travel,Dulwich Hill Line,23
Jul-16,Concession,Dulwich Hill Line,671
Jul-16,Child/Youth,Dulwich Hill Line,1755
Jul-16,Adult,Dulwich Hill Line,16826
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,14
Jul-16,Free Travel,Dulwich Hill Line,15
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,28
Jul-16,Senior/Pensioner,Dulwich Hill Line,3911
Jul-16,Concession,Dulwich Hill Line,754
Jul-16,Child/Youth,Dulwich Hill Line,2330
Jul-16,Adult,Dulwich Hill Line,17888
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,3
Jul-16,Senior/Pensioner,Dulwich Hill Line,4126
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Jul-16,Free Travel,Dulwich Hill Line,13
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,17
Jul-16,Senior/Pensioner,Dulwich Hill Line,3541
Jul-16,Concession,Dulwich Hill Line,777
Jul-16,Child/Youth,Dulwich Hill Line,1303
Jul-16,Adult,Dulwich Hill Line,20473
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Jul-16,Free Travel,Dulwich Hill Line,13
Jul-16,Concession,Dulwich Hill Line,817
Jul-16,Child/Youth,Dulwich Hill Line,1223
Jul-16,Adult,Dulwich Hill Line,14312
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,12
Jul-16,Free Travel,Dulwich Hill Line,26
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,64
Jul-16,Senior/Pensioner,Dulwich Hill Line,4276
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,47
Jul-16,Senior/Pensioner,Dulwich Hill Line,4076
Jul-16,Concession,Dulwich Hill Line,767
Jul-16,Child/Youth,Dulwich Hill Line,2018
Jul-16,Adult,Dulwich Hill Line,17299
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,16
Jul-16,Free Travel,Dulwich Hill Line,18
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,28
Jul-16,Senior/Pensioner,Dulwich Hill Line,3624
Jul-16,Concession,Dulwich Hill Line,1062
Jul-16,Child/Youth,Dulwich Hill Line,1653
Jul-16,Adult,Dulwich Hill Line,28631
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,12
Jul-16,Free Travel,Dulwich Hill Line,25
Jul-16,Concession,Dulwich Hill Line,792
Jul-16,Child/Youth,Dulwich Hill Line,1297
Jul-16,Adult,Dulwich Hill Line,17822
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,8
Jul-16,School Student,Dulwich Hill Line,60
Jul-16,Free Travel,Dulwich Hill Line,21
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,29
Jul-16,Senior/Pensioner,Dulwich Hill Line,4406
Jul-16,Concession,Dulwich Hill Line,809
Jul-16,Child/Youth,Dulwich Hill Line,1521
Jul-16,Adult,Dulwich Hill Line,18348
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,27
Jul-16,Senior/Pensioner,Dulwich Hill Line,4087
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,10
Jul-16,Free Travel,Dulwich Hill Line,19
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,6
Jul-16,Senior/Pensioner,Dulwich Hill Line,4362
Jul-16,Concession,Dulwich Hill Line,967
Jul-16,Child/Youth,Dulwich Hill Line,1838
Jul-16,Adult,Dulwich Hill Line,20434
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,4
Jul-16,Free Travel,Dulwich Hill Line,24
Jul-16,Concession,Dulwich Hill Line,852
Jul-16,Child/Youth,Dulwich Hill Line,1290
Jul-16,Adult,Dulwich Hill Line,18001
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,17
Jul-16,School Student,Dulwich Hill Line,97
Jul-16,Free Travel,Dulwich Hill Line,23
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,46
Jul-16,Senior/Pensioner,Dulwich Hill Line,4827
Jul-16,Concession,Dulwich Hill Line,842
Jul-16,Child/Youth,Dulwich Hill Line,1321
Jul-16,Adult,Dulwich Hill Line,17905
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Jul-16,School Student,Dulwich Hill Line,135
Jul-16,Free Travel,Dulwich Hill Line,24
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,45
Jul-16,Senior/Pensioner,Dulwich Hill Line,5236
Jul-16,Concession,Dulwich Hill Line,1082
Jul-16,Child/Youth,Dulwich Hill Line,1257
Jul-16,Adult,Dulwich Hill Line,29511
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,8
Jul-16,School Student,Dulwich Hill Line,126
Jul-16,Free Travel,Dulwich Hill Line,26
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,32
Jul-16,Senior/Pensioner,Dulwich Hill Line,3523
Jul-16,Concession,Dulwich Hill Line,869
Jul-16,Child/Youth,Dulwich Hill Line,1844
Jul-16,Adult,Dulwich Hill Line,18124
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,21
Jul-16,Senior/Pensioner,Dulwich Hill Line,4832
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,5
Jul-16,Free Travel,Dulwich Hill Line,26
Jul-16,Concession,Dulwich Hill Line,895
Jul-16,Child/Youth,Dulwich Hill Line,1507
Jul-16,Adult,Dulwich Hill Line,17736
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Jul-16,School Student,Dulwich Hill Line,129
Jul-16,Free Travel,Dulwich Hill Line,40
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,43
Jul-16,Senior/Pensioner,Dulwich Hill Line,5050
Jul-16,Concession,Dulwich Hill Line,587
Jul-16,Child/Youth,Dulwich Hill Line,1202
Jul-16,Adult,Dulwich Hill Line,13239
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,36
Jul-16,Senior/Pensioner,Dulwich Hill Line,3343
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Jul-16,Free Travel,Dulwich Hill Line,15
Jul-16,Concession,Dulwich Hill Line,668
Jul-16,Child/Youth,Dulwich Hill Line,1817
Jul-16,Adult,Dulwich Hill Line,16599
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,48
Jul-16,Senior/Pensioner,Dulwich Hill Line,3722
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,11
Jul-16,Free Travel,Dulwich Hill Line,23
Jul-16,Concession,Dulwich Hill Line,874
Jul-16,Child/Youth,Dulwich Hill Line,1708
Jul-16,Adult,Dulwich Hill Line,20021
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,10
Jul-16,Senior/Pensioner,Dulwich Hill Line,3882
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,7
Jul-16,Free Travel,Dulwich Hill Line,32
Jul-16,Concession,Dulwich Hill Line,716
Jul-16,Child/Youth,Dulwich Hill Line,2151
Jul-16,Adult,Dulwich Hill Line,16720
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,30
Jul-16,Senior/Pensioner,Dulwich Hill Line,3604
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,19
Jul-16,Free Travel,Dulwich Hill Line,7
Jul-16,Concession,Dulwich Hill Line,1016
Jul-16,Child/Youth,Dulwich Hill Line,1409
Jul-16,Adult,Dulwich Hill Line,19525
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,16
Jul-16,School Student,Dulwich Hill Line,115
Jul-16,Free Travel,Dulwich Hill Line,21
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,47
Jul-16,Senior/Pensioner,Dulwich Hill Line,4355
Jul-16,Concession,Dulwich Hill Line,835
Jul-16,Child/Youth,Dulwich Hill Line,1258
Jul-16,Adult,Dulwich Hill Line,19814
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,7
Jul-16,School Student,Dulwich Hill Line,57
Jul-16,Free Travel,Dulwich Hill Line,21
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,25
Jul-16,Senior/Pensioner,Dulwich Hill Line,3923
Jul-16,Concession,Dulwich Hill Line,691
Jul-16,Child/Youth,Dulwich Hill Line,1448
Jul-16,Adult,Dulwich Hill Line,14276
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,59
Jul-16,Senior/Pensioner,Dulwich Hill Line,3870
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,25
Jul-16,Free Travel,Dulwich Hill Line,10
Jul-16,Concession,Dulwich Hill Line,1133
Jul-16,Child/Youth,Dulwich Hill Line,1473
Jul-16,Adult,Dulwich Hill Line,19625
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,9
Jul-16,School Student,Dulwich Hill Line,142
Jul-16,Free Travel,Dulwich Hill Line,32
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,59
Jul-16,Senior/Pensioner,Dulwich Hill Line,4698
Jul-16,Concession,Dulwich Hill Line,717
Jul-16,Child/Youth,Dulwich Hill Line,1383
Jul-16,Adult,Dulwich Hill Line,14426
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,43
Jul-16,Senior/Pensioner,Dulwich Hill Line,4018
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,12
Jul-16,Free Travel,Dulwich Hill Line,19
Jul-16,LR-MST,Dulwich Hill Line,24913
Aug-16,Concession,Dulwich Hill Line,1324
Aug-16,Child/Youth,Dulwich Hill Line,1354
Aug-16,Adult,Dulwich Hill Line,28954
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,14
Aug-16,School Student,Dulwich Hill Line,161
Aug-16,Free Travel,Dulwich Hill Line,30
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,71
Aug-16,Senior/Pensioner,Dulwich Hill Line,3805
Aug-16,Concession,Dulwich Hill Line,979
Aug-16,Child/Youth,Dulwich Hill Line,1326
Aug-16,Adult,Dulwich Hill Line,18424
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,12
Aug-16,School Student,Dulwich Hill Line,169
Aug-16,Free Travel,Dulwich Hill Line,34
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,36
Aug-16,Senior/Pensioner,Dulwich Hill Line,4344
Aug-16,Concession,Dulwich Hill Line,932
Aug-16,Child/Youth,Dulwich Hill Line,998
Aug-16,Adult,Dulwich Hill Line,19976
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,7
Aug-16,School Student,Dulwich Hill Line,263
Aug-16,Free Travel,Dulwich Hill Line,29
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,48
Aug-16,Senior/Pensioner,Dulwich Hill Line,4217
Aug-16,Concession,Dulwich Hill Line,1037
Aug-16,Child/Youth,Dulwich Hill Line,1074
Aug-16,Adult,Dulwich Hill Line,20453
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,9
Aug-16,School Student,Dulwich Hill Line,224
Aug-16,Free Travel,Dulwich Hill Line,25
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,38
Aug-16,Senior/Pensioner,Dulwich Hill Line,4251
Aug-16,Concession,Dulwich Hill Line,896
Aug-16,Child/Youth,Dulwich Hill Line,1334
Aug-16,Adult,Dulwich Hill Line,14567
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,19
Aug-16,Free Travel,Dulwich Hill Line,28
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,140
Aug-16,Senior/Pensioner,Dulwich Hill Line,4124
Aug-16,Concession,Dulwich Hill Line,1054
Aug-16,Child/Youth,Dulwich Hill Line,1176
Aug-16,Adult,Dulwich Hill Line,20602
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,14
Aug-16,School Student,Dulwich Hill Line,227
Aug-16,Free Travel,Dulwich Hill Line,25
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,42
Aug-16,Senior/Pensioner,Dulwich Hill Line,4136
Aug-16,Concession,Dulwich Hill Line,1278
Aug-16,Child/Youth,Dulwich Hill Line,1436
Aug-16,Adult,Dulwich Hill Line,19874
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,8
Aug-16,School Student,Dulwich Hill Line,195
Aug-16,Free Travel,Dulwich Hill Line,37
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,57
Aug-16,Senior/Pensioner,Dulwich Hill Line,4536
Aug-16,Concession,Dulwich Hill Line,919
Aug-16,Child/Youth,Dulwich Hill Line,1551
Aug-16,Adult,Dulwich Hill Line,15442
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,33
Aug-16,Free Travel,Dulwich Hill Line,31
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,110
Aug-16,Senior/Pensioner,Dulwich Hill Line,4544
Aug-16,Concession,Dulwich Hill Line,778
Aug-16,Child/Youth,Dulwich Hill Line,1941
Aug-16,Adult,Dulwich Hill Line,17689
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,16
Aug-16,Free Travel,Dulwich Hill Line,29
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,98
Aug-16,Senior/Pensioner,Dulwich Hill Line,4076
Aug-16,Concession,Dulwich Hill Line,902
Aug-16,Child/Youth,Dulwich Hill Line,1385
Aug-16,Adult,Dulwich Hill Line,15701
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,33
Aug-16,Free Travel,Dulwich Hill Line,16
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,135
Aug-16,Senior/Pensioner,Dulwich Hill Line,4226
Aug-16,Concession,Dulwich Hill Line,1064
Aug-16,Child/Youth,Dulwich Hill Line,995
Aug-16,Adult,Dulwich Hill Line,17830
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,14
Aug-16,School Student,Dulwich Hill Line,211
Aug-16,Free Travel,Dulwich Hill Line,35
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,56
Aug-16,Senior/Pensioner,Dulwich Hill Line,4895
Aug-16,Concession,Dulwich Hill Line,1013
Aug-16,Child/Youth,Dulwich Hill Line,1195
Aug-16,Adult,Dulwich Hill Line,21588
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,14
Aug-16,School Student,Dulwich Hill Line,168
Aug-16,Free Travel,Dulwich Hill Line,25
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,64
Aug-16,Senior/Pensioner,Dulwich Hill Line,3886
Aug-16,Concession,Dulwich Hill Line,957
Aug-16,Child/Youth,Dulwich Hill Line,909
Aug-16,Adult,Dulwich Hill Line,19511
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,8
Aug-16,School Student,Dulwich Hill Line,256
Aug-16,Free Travel,Dulwich Hill Line,25
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,37
Aug-16,Senior/Pensioner,Dulwich Hill Line,4465
Aug-16,Concession,Dulwich Hill Line,1279
Aug-16,Child/Youth,Dulwich Hill Line,1313
Aug-16,Adult,Dulwich Hill Line,19946
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,25
Aug-16,School Student,Dulwich Hill Line,207
Aug-16,Free Travel,Dulwich Hill Line,34
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,78
Aug-16,Senior/Pensioner,Dulwich Hill Line,4642
Aug-16,Concession,Dulwich Hill Line,964
Aug-16,Child/Youth,Dulwich Hill Line,1200
Aug-16,Adult,Dulwich Hill Line,19003
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,4
Aug-16,School Student,Dulwich Hill Line,232
Aug-16,Free Travel,Dulwich Hill Line,47
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,66
Aug-16,Senior/Pensioner,Dulwich Hill Line,4417
Aug-16,Concession,Dulwich Hill Line,921
Aug-16,Child/Youth,Dulwich Hill Line,1243
Aug-16,Adult,Dulwich Hill Line,19124
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,7
Aug-16,School Student,Dulwich Hill Line,169
Aug-16,Free Travel,Dulwich Hill Line,25
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,47
Aug-16,Senior/Pensioner,Dulwich Hill Line,4374
Aug-16,Concession,Dulwich Hill Line,1137
Aug-16,Child/Youth,Dulwich Hill Line,923
Aug-16,Adult,Dulwich Hill Line,28762
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,9
Aug-16,School Student,Dulwich Hill Line,241
Aug-16,Free Travel,Dulwich Hill Line,32
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,49
Aug-16,Senior/Pensioner,Dulwich Hill Line,4068
Aug-16,Concession,Dulwich Hill Line,955
Aug-16,Child/Youth,Dulwich Hill Line,931
Aug-16,Adult,Dulwich Hill Line,17785
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,10
Aug-16,School Student,Dulwich Hill Line,260
Aug-16,Free Travel,Dulwich Hill Line,35
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,30
Aug-16,Senior/Pensioner,Dulwich Hill Line,5407
Aug-16,Concession,Dulwich Hill Line,740
Aug-16,Child/Youth,Dulwich Hill Line,2119
Aug-16,Adult,Dulwich Hill Line,17719
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,28
Aug-16,Free Travel,Dulwich Hill Line,33
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,72
Aug-16,Senior/Pensioner,Dulwich Hill Line,4306
Aug-16,Concession,Dulwich Hill Line,1174
Aug-16,Child/Youth,Dulwich Hill Line,1101
Aug-16,Adult,Dulwich Hill Line,29824
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,17
Aug-16,School Student,Dulwich Hill Line,218
Aug-16,Free Travel,Dulwich Hill Line,22
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,67
Aug-16,Senior/Pensioner,Dulwich Hill Line,3774
Aug-16,Concession,Dulwich Hill Line,955
Aug-16,Child/Youth,Dulwich Hill Line,1057
Aug-16,Adult,Dulwich Hill Line,18172
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Aug-16,School Student,Dulwich Hill Line,206
Aug-16,Free Travel,Dulwich Hill Line,35
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,37
Aug-16,Senior/Pensioner,Dulwich Hill Line,5341
Aug-16,Concession,Dulwich Hill Line,998
Aug-16,Child/Youth,Dulwich Hill Line,1036
Aug-16,Adult,Dulwich Hill Line,18173
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,12
Aug-16,School Student,Dulwich Hill Line,242
Aug-16,Free Travel,Dulwich Hill Line,25
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,61
Aug-16,Senior/Pensioner,Dulwich Hill Line,4380
Aug-16,Concession,Dulwich Hill Line,958
Aug-16,Child/Youth,Dulwich Hill Line,1144
Aug-16,Adult,Dulwich Hill Line,18161
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,15
Aug-16,School Student,Dulwich Hill Line,219
Aug-16,Free Travel,Dulwich Hill Line,36
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,43
Aug-16,Senior/Pensioner,Dulwich Hill Line,5134
Aug-16,Concession,Dulwich Hill Line,1279
Aug-16,Child/Youth,Dulwich Hill Line,1153
Aug-16,Adult,Dulwich Hill Line,30111
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,15
Aug-16,School Student,Dulwich Hill Line,192
Aug-16,Free Travel,Dulwich Hill Line,25
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,35
Aug-16,Senior/Pensioner,Dulwich Hill Line,3649
Aug-16,Concession,Dulwich Hill Line,1211
Aug-16,Child/Youth,Dulwich Hill Line,1393
Aug-16,Adult,Dulwich Hill Line,19716
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,25
Aug-16,School Student,Dulwich Hill Line,241
Aug-16,Free Travel,Dulwich Hill Line,34
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,121
Aug-16,Senior/Pensioner,Dulwich Hill Line,4280
Aug-16,Concession,Dulwich Hill Line,733
Aug-16,Child/Youth,Dulwich Hill Line,2068
Aug-16,Adult,Dulwich Hill Line,18015
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,29
Aug-16,Free Travel,Dulwich Hill Line,14
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,66
Aug-16,Senior/Pensioner,Dulwich Hill Line,4131
Aug-16,Concession,Dulwich Hill Line,994
Aug-16,Child/Youth,Dulwich Hill Line,1195
Aug-16,Adult,Dulwich Hill Line,18386
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,16
Aug-16,School Student,Dulwich Hill Line,227
Aug-16,Free Travel,Dulwich Hill Line,30
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,69
Aug-16,Senior/Pensioner,Dulwich Hill Line,4724
Aug-16,Concession,Dulwich Hill Line,946
Aug-16,Child/Youth,Dulwich Hill Line,1587
Aug-16,Adult,Dulwich Hill Line,15855
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,20
Aug-16,Free Travel,Dulwich Hill Line,23
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,56
Aug-16,Senior/Pensioner,Dulwich Hill Line,4127
Aug-16,Concession,Dulwich Hill Line,1260
Aug-16,Child/Youth,Dulwich Hill Line,1419
Aug-16,Adult,Dulwich Hill Line,19742
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,17
Aug-16,School Student,Dulwich Hill Line,187
Aug-16,Free Travel,Dulwich Hill Line,26
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,78
Aug-16,Senior/Pensioner,Dulwich Hill Line,4223
Aug-16,Concession,Dulwich Hill Line,1216
Aug-16,Child/Youth,Dulwich Hill Line,987
Aug-16,Adult,Dulwich Hill Line,29826
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,9
Aug-16,School Student,Dulwich Hill Line,225
Aug-16,Free Travel,Dulwich Hill Line,24
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,54
Aug-16,Senior/Pensioner,Dulwich Hill Line,3583
Aug-16,Concession,Dulwich Hill Line,716
Aug-16,Child/Youth,Dulwich Hill Line,1755
Aug-16,Adult,Dulwich Hill Line,17202
Aug-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,35
Aug-16,Free Travel,Dulwich Hill Line,19
Aug-16,Sgl Trip LR Adult,Dulwich Hill Line,107
Aug-16,Senior/Pensioner,Dulwich Hill Line,4339
Sep-16,Adult,Dulwich Hill Line,19857
Sep-16,Child/Youth,Dulwich Hill Line,1574
Sep-16,Concession,Dulwich Hill Line,1045
Sep-16,Senior/Pensioner,Dulwich Hill Line,4815
Sep-16,Sgl Trip LR Adult,Dulwich Hill Line,101
Sep-16,Free Travel,Dulwich Hill Line,34
Sep-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,33
Sep-16,Adult,Dulwich Hill Line,21234
Sep-16,Child/Youth,Dulwich Hill Line,1999
Sep-16,Concession,Dulwich Hill Line,1169
Sep-16,Senior/Pensioner,Dulwich Hill Line,4747
Sep-16,Sgl Trip LR Adult,Dulwich Hill Line,145
Sep-16,Free Travel,Dulwich Hill Line,35
Sep-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,71
Sep-16,Concession,Dulwich Hill Line,1020
Sep-16,Child/Youth,Dulwich Hill Line,889
Sep-16,Adult,Dulwich Hill Line,18694
Sep-16,Sgl Trip LR Adult,Dulwich Hill Line,69
Sep-16,Senior/Pensioner,Dulwich Hill Line,3990
Sep-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,5
Sep-16,School Student,Dulwich Hill Line,247
Sep-16,Free Travel,Dulwich Hill Line,21
Sep-16,Adult,Dulwich Hill Line,18963
Sep-16,Child/Youth,Dulwich Hill Line,2416
Sep-16,Concession,Dulwich Hill Line,730
Sep-16,Senior/Pensioner,Dulwich Hill Line,4621
Sep-16,Sgl Trip LR Adult,Dulwich Hill Line,115
Sep-16,Free Travel,Dulwich Hill Line,34
Sep-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,37
Sep-16,Concession,Dulwich Hill Line,729
Sep-16,Child/Youth,Dulwich Hill Line,1407
Sep-16,Adult,Dulwich Hill Line,14171
Sep-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,19
Sep-16,Free Travel,Dulwich Hill Line,25
